MDB::ID_MDB;MDB::Name;MDB::Zusatz;MDB::APP_Subtitel;MDB::Anz_StrasseHausNr;MDB::PLZ;MDB::Stadt;MDB::Bezirk;MDB::App_Phone;MDB::eMail_öffentlich;MDB::URL;MDB::Aus_Fahrverbindung;Öffnungszeiten;MDB::App_Breitengrad;MDB::App_Längengrad;MDB::Filiale;Edition_Kapitel;Edition_Rubriken;Edition_Text;Altersgruppe;APP_Bildbenennung;APP_Fotograf;MDB::APP_Typ
31104;Extavium Potsdam;Das wissenschaftliche Mitmachmuseum;;Marlene-Dietrich-Allee 9, in der Caligari Halle am Filmpark Babelsberg;14482;Potsdam;;0331 8773628;kontakt@extavium.de;www.extavium.de;A115, Abfahrt Filmpark/Potsdam Babelsberg, S-Bhf. Griebnitzsee, Bus 696;In der Schulzeit: Di-Fr 9-18 Uhr, Sa+So 10-18 Uhr, Feiertage: Ostersonntag, Ostermontag, die Weihnachtsfeiertage sowie Silvester und Neujahr geschlossen;52,4686555;13,3158045;;Kinder + Familie;Listing;Im extavium können kleine Forscher über 120 Exponate aus den Bereichen Chemie, Biologie, Mechanik, Energie, Optik und Akustik eingehend studieren – Ausprobieren und Mitmachen inbegriffen. Zur Fußball-WM dreht sich alles um die Physik des Fußballs, Raketen bauen und Glibber herstellen können die Kleinen ganzjährig.;;tip_31104.jpg;Extavium Potsdam;adress
10241;JIM - Jugend im Museum e.V.;Geschäftsstelle;;Genthiner Straße 38;10785;Berlin;Schöneberg;030 266422242;info@jugend-im-museum.de;www.jugend-im-museum.de;U-Bhf. Kurfürstenstraße;abhängig von Kursangebot;52,50262;13,3585;;Kinder + Familie;Listing;Töpfern, malen, fotografieren, einen Film drehen, filzen, löten und vieles mehr - der Verein Jugend im Museum e.V. lockt die Kinder mit tollen Angeboten ins Museum. Mittwochs ab 15 Uhr kann jeder ins offene Atelier der Berlinischen Galerie kommen, Workshops oder Kindergeburtstage auf Anmeldung.;;tip_10241.jpg;Marco Majer;adress
10017;Kinderbauernhof auf dem Görlitzer e.V.;;;Wiener Straße 59b;10999;Berlin;Kreuzberg;030 6117424;goerlikinderbauernhof@gmx.de;www.kinderbauernhofberlin.de;U-Bhf. Görlitzer Bahnhof, Schlesisches Tor, Bus M29;Sommer Mo+Di, Do+Fr 10–19, Sa, So 11–18 Uhr, Winter Mo+Di, Do+Fr 10–17, Sa, So 11–17 Uhr, an Feiertagen geöffnet;52,494167;13,4414561;;Kinder + Familie;Listing;Schweine, Esel, Ziegen, Enten, Kaninchen und mehr tummeln sich auf dem Kinderbauernhof mitten in der Stadt. Hier können Stadtkinder beim Stall ausmisten und Tiere füttern mit anpacken. Über die regelmäßigen Angebote wie Kreativworkshops, Gartengruppe und Esel-AG können interessierte Familien sich online informieren, spontanes Vorbeikommen lohnt sich aber in jedem Fall.;;tip_10017.jpg;Steven J. Mooney;adress
11313;Labyrinth Kindermuseum;Kindermuseum Berlin;;Osloer Straße 12, in der Fabrik Osloer Straße;13359;Berlin;Wedding;030 800931150;;www.kindermuseum-labyrinth.de;U-Bhf. Pankstraße, Bus M27, Tram M13, 50;Fr, Sa 13–18, So 11–18 Uhr, Ferien Mo–Fr 9–18, Sa 13–18, So 11–18 Uhr;52,55635;13,38626;;Kinder + Familie;Listing;Wie sehen Kinder ihre Stadt und wie wollen sie dort leben? Darum dreht sich die aktuelle, interaktive Bauausstellung „Platz da! Kinder machen Stadt“ im Labyrinth Kindermuseum. Mit Bauhelm ausgestattet erkunden 3- bis 11-Jährige ihren eigenen Lebensraum und haben viel Freiraum zum Spielen, Bewegen, Konstruieren und Bauen. ;;tip_11313.jpg;Silke Weinsheimer;adress
20642;Reiter- und Erlebnisbauernhof Groß Briesen;;;Kietz 11;14806;Groß Briesen;;033846 41673;info@reiterhof-gross-briesen.de;www.erlebnisbauernhof.info;A 2, Wollin;durchgehend;52,2482633;12,480106;;Kinder + Familie;Listing;"Der Grundsatz ""Reiten ohne Angst und Drill"" sorgt auf dem Isländergestüt für eine besonders familiäre und kinderfreundliche Atmosphäre. Neben verschiedenen Reitkursen werden auch spezielle Aktionen wie das Mutter-Kind-Wochendende angeboten.";;tip_20642.jpg;Esther Bauer;adress
10074;Kinderbad Monbijou;;;Oranienburger Straße 78;10178;Berlin;Mitte;030 2828652;;www.berlinerbaederbetriebe.de;U-Bhf. Oranienburger Tor, S-Bhf. Hackescher Markt, Oranienburger Straße, Tram M1, M4, M5, M6, 12;20.6.-5.8. tgl. 10-19 Uhr, 6.8.-2.9. Mo-Fr 11-19 Uhr, Sa+So 10-19 Uhr;52,5237993;13,3974895;;Kinder + Familie;Listing Wasser;Hier können die kleinsten Wasserratten ausgiebig planschen und die ersten Schwimmversuche wagen. Die Eltern können in dem speziellen Kinderbad die Füße ins Wasser stecken oder auf der großen Wiese entspannt ein Sonnenbad nehmen.;;tip_10074.jpg;Cagari;adress
27267;Batata;Office & Showroom;;Erich-Weinert-Straße 24, Grunert und Sang GbR;10439;Berlin;Prenzlauer Berg;030 44676611;info@batata.de, shop@generationxxs.de;www.batata.de;U+S-Bhf. Schönhauser Allee, U-Bhf. Schönhauser Allee, S-Bhf. Schönhauser Allee;nach Vereinbarung;52,55116;13,4174;;Mode + Stil;Kinderkleidung;Mit den beiden Labels Batata und Generation XXS produzieren Irene Sang und Doreen Grunert bequeme und erfrischend andere Kleidung für Kinder bis elf (Größe 152) und auch Erwachsene. Aus schadstoffgeprüften Stoffen mit dem Siegel für textiles Vertrauen entstehen kitschfreie Kleidungsstücke mit lustigen Aufdrucken, individuelle Geburtsgeschenke und Stofftiere. Auch recycelte Stoffe kommen zum Einsatz : bunte Hosen aus recycelten Shirts und bequeme Strampelsäcke aus Vintage-Stoffen. Von wegen Bio ist trist.;;tip_27267.jpg;BATATA;adress
40404;Cuddle Corner;;;Görschstraße 9;13187;Berlin;Pankow;030 43724097;info@cuddle-corner.de;www.cuddle-corner.de;S-Bhf. Wollankstraße, Bus M27, 250, 255;;52,566281;13,3998056;;Mode + Stil;Kinderkleidung;Statt Massenware findet man hier gewissenhaft ausgewählte Produkte zum Anziehen, Spielen und Kuscheln. Unter anderem Marken wie Frugi, Green Cotton und Adelheid gibt es bis maximal Größe 110. Spielsachen und Kinderaccessoires gibt es z.B. von Deglingos, Smallstuff und Salon Elfi. Bei der Produktauswahl ist die ethisch korrekte Herstellung ausschlaggebend, denn Gütekriterien wie CO2-freundlicher Transport, Nachhaltigkeit oder faire Produktion müssen auf jeden Fall erfüllt werden, um hier ins Regal zu kommen. Alles für Kuschelzwerge!;;tip_40404.jpg;;adress
27133;Die Hamburger Kinderstube;Kindermode seit 1925;;Motzstraße 59;10777;Berlin;Schöneberg;030 23607187;info@hamburger-kinderstube.de;www.hamburger-kinderstube.de;U-Bhf. Viktoria-Luise-Platz, Bus M19, M46, 106, 187, 204;Mi-Do 15-19 Uhr, Fr 12-19 Uhr, Sa 11-15 Uhr und nach Vereinbarung;52,49494;13,34024;;Mode + Stil;Kinderkleidung;Damals wie heute gut: Die Kinderkleidung im Matrosenstil überzeugt durch alte Schnittmuster und passgenaue Fertigung. Und alles in Berlin hergestellt. Ab einem Jahr bekommen kleine Herren die erste Bügelfaltenhose verpasst, kindgerecht mit Hosenträgern, Gummizug und genug Platz für Windeln, aber trotzdem stilecht. Auf Wunsch wird auch gerne auch nach Maß geschneidert.  ;;tip_27133.jpg;Die Hamburger Kinderstube | Bernhard Volkwein;adress
26212;die kinderstube;;;Knaackstraße 20a;10405;Berlin;Prenzlauer Berg;030 44352004;info@diekinderstube.com;www.diekinderstube.com;U-Bhf. Senefelderplatz, Tram M2;Mo-Fr 11-19 Uhr, Sa 11-18 Uhr;52,53459;13,4194;;Mode + Stil;Kinderkleidung;In der Kinderstube hat sich viel getan, und doch ist alles gut wie eh und je. Das Sortiment der schönen und natürlichen Textilien hat sich erweitert. So gibt es nun etwa qualitativ hochwertige Strickwaren zu erschwinglichen Preisen aus Dänemark von FUB und Bock Copenhagen, oder farbenfrohe Seide- und Wollbodys von Cosilana. Aber auch das Kinderzimmer kann sich hier neu einkleiden: Kissen, Bettwäsche und Deko findet sich hier neben nostalgischem und modernem, aber gutem Spielzeug, Büchern und Schlafsäcken. Ein Glücksfall, für wen hier ein Geschenkgutschein gekauft wurde! ;;tip_26212.jpg;die Kinderstube;adress
