Nr;Name;Ort;PLZ;Preis;Anschrift;Telefon/Fax;Länge;Breite;Webseite;E-Mail;Öffnungszeiten;Zahlungsmethoden;Update;Land
1;BK Tankstelle Isarparkhaus;München;80469;1.029;Baaderstr. 6;089 - 297450, Fax: 089 - 29160028;11.581261;48.133201;;
2;OIL-Tankstelle;Hennef / Sieg;53773;0.959;Frankfurter Straße 150;02242 -  869981;7.27757;50.77762;;
3;OIL-Tankstelle;Troisdorf;53842;0.959;Hauptstraße 338;02203 - 64058;7.10166;50.83891;;
4;AVIA Servicestation;Wetzlar;35576;1.069;Hohe Straße 1;06441 - 51889;8.47754;50.56469;;
5;Weidemann Tankstelle;Ahrensbök;23623;1.099;Lübecker Str.27;04524 - 706060;10.57456;54.00754;;
6;Autohaus Schleiter ;Rosenthal;35119;1.059;Huteweg 2-4;Telefon: 06458-252 - Fax: 06458-855;8.86856;50.97164;;
7;Autohaus Kreissl GmbH;Bad Homburg;61352;1.21;Benzstr. 15;06172 - 67680;8.61892;50.2173;;
8;Lange Mineralöl GmbH & Co. KG;Hagen;58091;1.139;Delsterner Str. 102 ;Tel: 02331/97850 Fax: 02331/978520;7.51108;51.34057;;
9;Tankstelle Bamberg Michael Ultsch GmbH;Bamberg;96052;1.199;Coburger Str. 42;0951 - 67974;10.88347;49.91268;;
10;OIL-Tankstelle;Düsseldorf;40547;0.959;Löricker Straße 41;0211 - 5202888  Fax 5205990;6.7224;51.24612;;
11;OIL Tankstelle;Flensburg;24939;0.959;Apenrader Str. 109;04614 - 7196;9.42235;54.80891;;
12;OIL-Tankstelle;Frankfurt / M;60433;0.959;Eschersheimer Landstraße 458;069 - 520234  fax 069 - 516767;8.66266;50.15182;;
13;OIL-Tankstelle Axel Diegelmann;Fulda;36043;0.959;Künzeller Str. 64;0661 - 9012585;9.69236;50.5401;;
14;OIL Tankstelle;Hamburg;22609;0.959;Baron-Voght-Straße 2;040 - 825502;9.86412;53.54829;;
15;OIL Tankstelle;Hamburg;20459;0.959;Rödingsmarkt 14;040 - 37501166;9.98506;53.54655;;
16;OIL-Tankstelle;Hochheim am Main;65239;0.959;Frankfurter Straße 63;06146 - 837531;8.36182;50.01395;;
17;OIL Station Inge Pietsch;Kiel;24105;0.959;Brunswiker Straße 46 - 48;0431 - 562818;10.13673;54.32883;;
18;CLASSIC Tankstelle Ingrid Meier;Hamburg ;22415;1.019;Langenhorner Chaussee 216;040-5322454 / FAX 040-18989000;10.01792;53.6507;;
19;Tankstelle ATT Ströhen;Wagenfeld-Ströhen ;49419;1.099;Pilotenstraße 2;05774 - 99700;8.67232;52.53768;;
20;AVEX Ohrem;Köln;50767;0.999;Konrad-Hausmann-Str. 2;0221 - 9591413;6.87973;50.99961;;
21;Tecklenburg GmbH & Co.KG;Hambergen;27729;1.159;Wesermünder Str. 1;04793 - 7947;8.8259;53.31091;;
22;Hitzer GmbH;Duingen;31089;1.139;Töpferstr. 26a;05185 - 1400;9.70414;52.00301;;
